PLAYER_NAME,xShot_total,xPoints_total,actual_points,diff
John Konchar,250.673934476735,591.6449262393543,540,51.64492623935428
Joe Ingles,216.53663224593117,590.4876174719768,460,130.48761747197682
Larry Nance Jr.,269.5809515065661,587.7711667786817,516,71.77116677868173
Naji Marshall,256.3690244127282,586.4699714663149,436,150.46997146631486
Goga Bitadze,265.5042345911831,585.2075279314637,524,61.20752793146369
Josh Green,262.9062471711366,582.4804541530392,520,62.480454153039204
George Hill,243.1204117690678,579.6213208492302,472,107.62132084923019
Davis Bertans,210.87650496983176,576.9219160866492,396,180.92191608664916
Omer Yurtseven,283.1692240884126,573.7551128682153,520,53.75511286821529
Draymond Green,268.7720306031543,573.2412324393681,540,33.241232439368105
Terence Davis,233.71216678296574,571.6396374627562,452,119.63963746275624
Onyeka Okongwu,285.5974255346205,571.194851069241,624,-52.805148930758946
Keon Johnson,250.55254290201222,570.9882451312016,384,186.98824513120155
Joshua Primo,237.4306769353498,570.5531126420019,404,166.5531126420019
Brandon Williams,248.2250821203325,569.4174526397043,420,149.41745263970427
Delon Wright,243.99802601934118,568.156661942048,488,80.156661942048
Troy Brown Jr.,235.53433874081728,566.450830129062,432,134.45083012906196
Jalen McDaniels,243.93163665934077,564.0432943577262,492,72.04329435772615
Trendon Watford,266.9499298847843,560.2980223681759,568,-7.701977631824093
Dwight Howard,273.92706854865344,558.0489848899048,536,22.048984889904773
Derrick Rose,245.8523339949387,555.8218360218801,488,67.82183602188013
Justise Winslow,250.0532978899659,546.0993930768134,440,106.09939307681339
Juan Toscano-Anderson,242.00771766515672,543.6982199775066,460,83.6982199775066
Alex Caruso,227.78237078786526,543.3978126370881,408,135.39781263708812
Stanley Johnson,227.34434630213366,528.725138827073,468,60.72513882707301
DeAndre' Bembry,248.0337476774427,522.2121467964387,496,26.212146796438674
Eric Paschall,221.918260364464,520.9559648675975,456,64.95596486759746
Mike Muscala,204.80788743094328,520.2725796020609,452,68.27257960206089
Isaiah Jackson,252.5470253228428,516.0176454760591,464,52.0176454760591
Jevon Carter,196.17020341312434,513.3044441868553,392,121.30444418685533
Svi Mykhailiuk,208.61229771323264,511.2055849728347,364,147.20558497283469
Terry Taylor,239.11652825789895,505.6190229807993,540,-34.380977019200714
Wayne Ellington,175.2775780458834,498.70727627049007,392,106.70727627049007
Quentin Grimes,181.12014137070332,494.88419451926035,380,114.88419451926035
Derrick Jones Jr.,223.5125375490224,491.4663599477905,420,71.46635994779052
Xavier Tillman,228.06119645131176,490.804169482844,392,98.80416948284397
Rodney McGruder,188.05092291880527,479.85584214851394,392,87.85584214851394
Dean Wade,186.64048784298285,472.6199268955706,396,76.61992689557059
Greg Brown III,212.50910468930434,468.7314245852837,324,144.73142458528372
Wesley Matthews,177.91242639148012,467.8345582573897,348,119.83455825738969
D.J. Augustin,175.0888210509209,464.2273177127868,376,88.22731771278683
Jock Landale,201.04324476624734,462.889320378976,404,58.88932037897598
Khem Birch,221.91068401386084,454.4047965543036,388,66.40479655430357
Frank Ntilikina,186.87546946323516,451.8783239997067,356,95.87832399970671
Danuel House Jr.,178.95061758022243,442.45357573684913,320,122.45357573684913
Jordan McLaughlin,187.25102681164196,434.9327802993415,352,82.93278029934152
Dalano Banton,199.88058763647956,434.5468847831137,332,102.54688478311368
Zeke Nnaji,186.68424086316313,429.8115739889073,384,45.8115739889073
T.J. McConnell,201.13851482968883,424.8066625520958,400,24.806662552095815
Maurice Harkless,174.9941133005232,423.04884925755886,332,91.04884925755886
DeAndre Jordan,207.7259285577354,415.4518571154708,368,47.45185711547077
Trey Burke,179.30822778273432,415.1280717512975,336,79.12807175129751
Romeo Langford,175.98688160908932,412.59411686388097,332,80.59411686388097
Timothe Luwawu-Cabarrot,162.36389729522946,412.41393520434747,296,116.41393520434747
David Nwaba,185.74176014209093,405.65421865974463,340,65.65421865974463
Alex Len,194.12915619047868,402.9422414028654,376,26.94224140286542
Robin Lopez,197.98130065399874,399.7581112485168,440,-40.2418887514832
Moses Moody,158.6703803626887,394.44037741965246,320,74.44037741965246
Keifer Sykes,164.78187961069503,392.72064235366577,276,116.72064235366577
Saben Lee,175.73626131643593,392.61594709002617,276,116.61594709002617
Dennis Smith Jr.,186.9955892938768,392.33758349328093,316,76.33758349328093
Ignas Brazdeikis,164.7364103466894,390.42073956560927,324,66.42073956560927
Tomas Satoransky,176.85946354466552,389.29089666599646,288,101.29089666599646
Derrick Favors,187.125879249193,386.13294810719617,376,10.132948107196171
Aaron Nesmith,152.45400206148793,385.38324582718724,288,97.38324582718724
Taj Gibson,176.10266433279506,379.93472430405353,344,35.93472430405353
Lindy Waters III,135.4928573553569,371.8021073497528,284,87.80210734975282
Isaiah Joe,138.1385585209044,369.03728531222157,248,121.03728531222157
Tony Snell,137.40972385712342,365.65339707762286,276,89.65339707762286
Kelan Martin,154.13809853600074,361.32123380620993,280,81.32123380620993
Malachi Flynn,150.16865996357342,360.9582823424694,288,72.95828234246937
Day'Ron Sharpe,178.0812337253627,360.94804411125523,344,16.94804411125523
Vít Krejčí,145.71544755783427,358.90004830473987,272,86.90004830473987
Rajon Rondo,148.4029250325751,355.55517659914597,272,83.55517659914597
Thomas Bryant,160.35448853024198,349.51977904207644,308,41.519779042076436
Elfrid Payton,168.24584890147895,348.91252122260187,268,80.91252122260187
Bismack Biyombo,174.04590868854132,348.09181737708263,344,4.091817377082634
Markelle Fultz,164.26055249287768,338.5618668198244,332,6.561866819824388
Sterling Brown,135.21036310279968,336.25150253514255,236,100.25150253514255
Davon Reed,138.12025553781527,336.217565974118,324,12.217565974117974
Zach Collins,153.56073086104186,335.14939507503357,304,31.149395075033567
Isaiah Thomas,134.68678226881025,327.4714530271309,268,59.471453027130906
Marquese Chriss,155.40095441500154,326.74785625203316,248,78.74785625203316
Thanasis Antetokounmpo,155.06087429256792,319.5260042160212,280,39.52600421602119
Collin Sexton,143.28773137218536,317.59223145050515,272,45.59223145050515
Trent Forrest,148.45276619372132,315.5713717884819,304,11.571371788481883
Luka Garza,140.95688657549226,314.70313994577566,264,50.70313994577566
Rodney Hood,124.76817519510705,312.212762640741,232,80.212762640741
Goran Dragic,132.7935438114613,308.72811500829226,228,80.72811500829226
Moses Brown,152.20042198126822,304.40084396253644,256,48.40084396253644
Brandon Goodwin,133.68331857492515,304.18566014271113,256,48.18566014271113
Jared Butler,121.19593005189026,302.69112054576755,244,58.691120545767546
James Bouknight,133.7363301119675,301.7558002151497,196,105.75580021514969
Tony Bradley,149.3595708100235,298.719141620047,288,10.719141620047026
Yuta Watanabe,120.93212101671949,297.7974398281765,224,73.7974398281765
Brook Lopez,130.29980728231294,297.5605315399652,244,53.56053153996521
Elijah Hughes,115.17227988187884,296.5775022135812,188,108.57750221358123
Kira Lewis Jr.,128.84967305656738,296.11224060604553,236,60.11224060604553
Kent Bazemore,117.77916412308281,292.19045820709204,180,112.19045820709204
Santi Aldama,128.06425274165414,289.3802322220613,212,77.3802322220613
