Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass,Cluster,Cluster_Name,PCA1,PCA2
Freiburg,Bundesliga,team,1129,981,78.3,5552,86.9,5789,86.0,1209,50.0,30.5,36.3,48.7,20178,6656,9166,4504,722,10294,26564,319,119,215,511,317,276,225,222,64,787,112,288,811,714,21.0,501,38,57,44,11,84,2.47,60,7,3,9,4,1,11.91,3.88,32.6,0.11,0.35,44.3,0.11,1.7,4.9,1368,49.5,316,16460,14973,34,56,9,Solid Mid-Block Teams,-1.9187769345211156,-3.6663136022352933
Fulham,Premier League,team,1558,1346,82.0,7195,89.9,7222,88.1,1504,55.6,37.5,35.0,52.3,23926,8095,9787,6287,954,14026,38440,544,213,288,679,411,302,327,259,93,981,113,269,914,940,24.74,718,38,70,25,16,99,2.61,80,3,5,4,4,3,13.58,4.39,32.4,0.1,0.3,49.0,0.09,4.0,4.1,1610,50.0,432,19753,18077,43,119,6,Efficient Attackers,2.736883638488751,2.4340574727253315
Genoa,Serie A,team,980,737,76.5,4811,85.6,5664,84.8,1243,49.4,26.8,22.6,45.6,20080,7477,8829,3958,644,10006,25471,343,112,187,672,385,308,281,287,104,980,126,296,938,657,17.29,455,22,45,44,11,61,1.61,45,7,1,6,2,0,10.08,3.08,30.5,0.09,0.3,37.2,0.09,-2.2,-0.5,1481,48.9,497,15727,13887,42,57,0,Possession Builders,-5.769362525429284,0.9310080633834161
Getafe,La Liga,team,981,958,67.3,3711,81.0,3515,76.0,1250,42.4,23.9,23.8,41.8,17605,5183,7998,4646,675,7825,19034,311,105,265,645,393,276,287,278,80,921,84,327,1065,736,19.37,483,45,37,58,19,56,1.47,33,7,1,8,5,2,11.32,3.21,28.4,0.07,0.24,36.8,0.08,-2.8,-4.0,1436,51.1,602,12922,10790,23,116,0,Possession Builders,-7.985232667359264,2.1569136323882603
Girona,La Liga,team,1691,1494,85.4,8002,92.0,8458,90.8,1526,59.5,31.6,37.4,56.3,25088,7829,11533,5912,795,15275,44108,553,180,291,569,348,279,268,219,82,848,104,223,722,727,19.13,562,34,37,23,11,77,2.03,56,6,2,9,3,1,10.45,3.53,33.8,0.1,0.29,42.5,0.1,0.5,0.4,1443,48.3,437,21401,19598,39,128,6,Efficient Attackers,2.562058725029484,-1.7678713837122129
Gladbach,Bundesliga,team,1112,848,80.8,6502,89.6,6076,86.7,1261,54.3,37.7,34.9,49.6,21519,8283,9361,4035,702,11672,29577,360,131,206,504,284,317,278,177,49,821,166,279,1067,736,21.65,542,27,50,29,15,93,2.74,73,7,3,5,4,1,12.15,4.5,37.0,0.12,0.32,50.6,0.11,2.4,2.4,1308,52.8,339,17507,15877,80,69,9,Solid Mid-Block Teams,-0.9184646774995583,-3.746172578860823
Heidenheim,Bundesliga,team,974,806,75.8,4145,83.1,5303,85.2,1428,53.2,28.6,31.4,43.5,18836,7356,7915,3789,619,10014,26117,347,94,232,614,356,312,322,235,57,926,109,326,952,713,20.97,489,43,47,49,8,60,1.76,32,8,4,9,6,1,11.71,3.65,31.2,0.08,0.26,40.3,0.09,-3.3,-4.3,1420,46.1,385,14684,12981,20,77,0,Possession Builders,-5.522108858449126,-0.39276424622840683
Hellas Verona,Serie A,team,1011,824,73.2,4411,85.7,4092,82.8,1079,42.0,24.8,20.6,38.7,17659,5973,8025,3869,532,8757,22203,338,100,228,672,434,329,326,271,75,1001,123,270,987,640,16.84,459,31,40,31,13,48,1.26,29,5,3,6,3,2,9.79,2.5,25.5,0.08,0.31,33.8,0.09,-2.8,-3.3,1427,49.0,579,13457,11789,28,91,0,Possession Builders,-8.193511957197567,1.625026336120574
Hoffenheim,Bundesliga,team,1218,1041,77.7,5746,87.2,5461,83.7,1221,50.0,32.7,38.9,48.7,20591,6644,9219,4904,762,10884,25062,391,124,234,570,336,291,266,236,68,861,139,311,922,790,23.24,585,39,50,35,7,81,2.38,55,8,6,7,4,1,12.94,4.35,33.6,0.1,0.29,42.6,0.09,3.4,2.7,1466,49.5,391,16506,14841,38,65,9,Solid Mid-Block Teams,-1.9954247963729148,-1.494116956504532
Holstein Kiel,Bundesliga,team,875,676,75.5,4072,85.4,5038,84.1,1261,49.3,26.7,27.8,43.6,18172,7924,7386,3022,572,8483,19640,261,81,184,541,328,294,292,174,75,835,155,254,1126,652,19.18,459,21,49,40,9,81,2.38,49,8,5,10,6,3,10.82,3.91,36.1,0.12,0.34,39.8,0.1,9.2,9.1,1267,47.4,407,13961,12298,30,58,4,Defensive Blockers,-5.4501274174538334,-4.137984150848008
Inter,Serie A,team,1730,1353,85.9,8329,91.4,8987,90.5,1751,65.8,48.3,49.0,59.4,26215,7834,12203,6361,1048,16253,40921,566,155,158,505,288,227,215,198,92,732,126,230,676,1028,27.05,781,31,62,42,15,133,3.5,99,10,5,10,8,1,14.87,4.71,31.7,0.12,0.38,66.9,0.11,9.1,7.9,1440,59.0,417,22592,20929,86,132,5,Overperforming Finishers,8.148059817896677,-3.7264908916055757
