Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass
Hellas Verona,Serie A,opponent,1593,1306,83.2,7656,89.8,8215,88.7,1657,59.5,39.1,32.9,61.3,25434,7310,12632,5689,799,14985,41167,502,158,281,487,263,221,242,179,66,708,101,236,734,900,23.68,659,52,57,49,12,106,2.79,78,6,7,12,1,2,13.18,4.45,33.7,0.13,0.37,53.4,0.1,11.6,12.7,1387,51.0,374,21566,19534,48,93
Hoffenheim,Bundesliga,opponent,1347,1178,80.2,6350,89.0,5860,86.0,1479,56.9,41.4,48.9,51.3,21736,6905,9596,5414,898,11712,27547,428,143,242,531,321,273,230,232,69,804,115,290,1051,858,25.24,621,52,69,37,13,120,3.53,88,8,9,9,5,1,14.26,4.91,34.4,0.13,0.37,55.8,0.11,9.2,10.9,1427,50.5,385,17470,15827,66,99
Holstein Kiel,Bundesliga,opponent,1572,1350,80.6,6586,89.3,6421,86.0,1395,54.6,44.5,53.6,56.4,22214,5535,10403,6454,987,12764,29565,409,172,253,442,258,237,154,180,108,679,90,269,753,1002,29.47,716,49,75,55,10,124,3.65,86,7,8,12,9,2,16.12,5.53,34.3,0.13,0.38,61.0,0.1,16.0,15.4,1388,52.6,370,18342,16528,53,86
Inter,Serie A,opponent,1064,868,80.6,5411,89.3,5149,86.8,1335,56.0,25.5,24.2,40.6,18906,6651,8467,3974,604,10804,29151,416,153,213,441,265,259,193,184,64,700,144,248,887,710,18.68,544,40,44,23,10,56,1.47,37,2,6,8,2,1,10.39,3.32,31.9,0.08,0.25,36.4,0.09,-2.4,-2.1,1284,41.0,435,15118,13487,25,105
Ipswich Town,Premier League,opponent,1726,1449,83.8,8645,91.2,8006,89.3,1365,52.3,53.5,47.9,59.4,25927,7646,11051,7443,1168,15621,40213,547,286,323,637,366,242,274,260,103,879,110,256,744,1080,28.42,837,63,65,33,15,142,3.74,108,7,7,12,7,1,15.82,5.37,33.9,0.12,0.36,72.7,0.12,7.3,5.7,1596,49.1,414,21940,20230,82,104
Juventus,Serie A,opponent,1097,914,80.5,5176,88.8,5815,87.7,1323,55.4,21.4,24.0,42.8,19571,6795,8487,4493,608,10828,29297,459,134,208,593,359,298,265,239,89,891,144,239,797,681,17.92,481,25,54,32,17,56,1.47,42,3,0,5,6,0,10.37,3.0,28.9,0.08,0.26,34.0,0.08,1.0,-0.1,1312,50.2,392,15648,13854,28,83
Las Palmas,La Liga,opponent,1470,1190,79.0,6398,88.4,6069,85.1,1278,51.3,47.5,42.7,49.3,22205,6608,10200,5612,931,11832,34121,471,197,285,563,360,307,253,230,80,870,100,253,974,937,24.66,705,50,52,46,15,102,2.68,79,4,5,6,6,2,13.95,4.55,32.6,0.1,0.31,66.8,0.11,-8.8,-6.3,1625,51.5,489,17854,15927,69,118
Lazio,Serie A,opponent,1133,931,81.0,5396,88.4,6085,88.0,1257,55.0,28.2,25.7,44.9,19987,7206,8767,4204,661,11670,31920,381,124,250,576,332,272,263,225,88,848,134,222,985,683,17.97,510,29,37,29,11,78,2.05,63,4,2,5,3,1,10.0,3.03,30.3,0.11,0.37,37.7,0.09,9.3,8.3,1390,50.9,509,16062,14421,30,94
Le Havre,Ligue 1,opponent,1639,1381,84.5,7062,90.3,7334,90.2,1227,58.2,45.3,42.8,56.9,22664,5983,11021,5860,832,13247,35670,469,140,258,547,314,249,213,239,95,796,83,218,788,848,24.94,619,42,68,34,20,119,3.5,87,3,8,10,6,5,14.18,4.97,35.1,0.13,0.38,62.8,0.13,7.2,6.5,1373,49.2,425,18901,17311,59,84
Lecce,Serie A,opponent,1685,1317,80.9,7020,89.4,6974,87.0,1395,53.9,37.8,37.1,56.2,23576,6501,11073,6205,899,13689,35907,510,165,283,538,327,292,226,229,83,830,106,269,807,932,24.53,662,48,77,44,14,98,2.58,62,4,6,11,12,3,13.71,4.53,33.0,0.09,0.27,57.1,0.1,-2.1,-2.6,1600,49.1,453,19450,17577,51,103
