"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Matches","url"
11,"Ola Aina","/en/players/246d153b/Ola-Aina","ng NGA","DF","Nott'ham Forest",26,1996,18.8,605,803,75.3,9657,4065,329,375,87.7,217,284,76.4,46,99,46.5,1,0.9,1,0.1,11,58,13,6,69,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
12,"Rayan Aït-Nouri","/en/players/9b398aea/Rayan-Ait-Nouri","dz ALG","DF,MF","Wolves",22,2001,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
13,"Kristoffer Ajer","/en/players/a8c0acb7/Kristoffer-Ajer","no NOR","DF","Brentford",25,1998,20.4,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
14,"Manuel Akanji","/en/players/89ac64a6/Manuel-Akanji","ch SUI","DF,MF","Manchester City",28,1995,27.9,2180,2334,93.4,35688,9787,1091,1136,96,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
15,"Nathan Aké","/en/players/eaeca114/Nathan-Ake","nl NED","DF","Manchester City",28,1995,22.7,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,0.8,10,148,5,1,116,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
16,"Thiago Alcántara","/en/players/77e84962/Thiago-Alcantara","es ESP","MF","Liverpool",32,1991,0.1,7,10,70,130,30,3,3,100,3,4,75,1,2,50,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
17,"Trent Alexander-Arnold","/en/players/cd1acf9d/Trent-Alexander-Arnold","eng ENG","DF","Liverpool",24,1998,23.9,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
18,"Alisson","/en/players/7a2e46a8/Alisson","br BRA","GK","Liverpool",30,1992,28,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0,0,0,1,8,0,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
19,"Miguel Almirón","/en/players/862a1c15/Miguel-Almiron","py PAR","FW","Newcastle Utd",29,1994,21.5,668,801,83.4,9023,1846,411,456,90.1,208,250,83.2,21,38,55.3,1,2.6,2.4,-1.6,24,38,21,3,78,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
20,"Edson Álvarez","/en/players/8b3ab7ad/Edson-Alvarez","mx MEX","MF","West Ham",25,1997,26.4,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,0.4,12,87,6,1,91,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
21,"Julián Álvarez","/en/players/15ab5a2b/Julian-Alvarez","ar ARG","MF,FW","Manchester City",23,2000,29.4,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40,8,6.4,6.3,1.6,67,43,41,4,103,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
22,"Zeki Amdouni","/en/players/2ee5b0c9/Zeki-Amdouni","ch SUI","FW","Burnley",22,2000,21.7,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
23,"Sofyan Amrabat","/en/players/5a2cb25d/Sofyan-Amrabat","ma MAR","MF,DF","Manchester Utd",26,1996,10.4,578,664,87,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,-0.3,6,62,6,1,66,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
24,"Joachim Andersen","/en/players/e34fc66d/Joachim-Andersen","dk DEN","DF","Crystal Palace",27,1996,37.9,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,0.2,20,171,17,8,147,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
25,"Elliot Anderson","/en/players/de31038e/Elliot-Anderson","eng ENG","MF,FW","Newcastle Utd",20,2002,11.4,370,460,80.4,5041,1322,241,274,88,108,130,83.1,8,27,29.6,2,1.9,1.2,0.1,15,36,12,0,57,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
26,"Jaidon Anthony","/en/players/e4238fb1/Jaidon-Anthony","eng ENG","FW","Bournemouth",23,1999,1.7,30,45,66.7,453,139,17,20,85,10,14,71.4,1,6,16.7,0,0,0,0,0,3,1,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
27,"Michail Antonio","/en/players/ac05f970/Michail-Antonio","jm JAM","FW","West Ham",33,1990,18.8,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50,2,0.9,1.3,1.1,8,13,7,2,22,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
28,"Antony","/en/players/99127249/Antony","br BRA","FW","Manchester Utd",23,2000,14.7,468,595,78.7,6175,1608,295,348,84.8,130,153,85,16,30,53.3,1,2.8,1.9,-1.8,22,26,29,3,64,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
29,"Oliver Arblaster","/en/players/afe1a491/Oliver-Arblaster","eng ENG","MF","Sheffield Utd",19,2004,10.5,351,441,79.6,5920,1788,174,201,86.6,147,167,88,26,50,52,0,0.8,0.9,-0.8,11,37,6,0,43,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
