"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Lille","Ligue 1","opponent",27,34,14644,13118,1471,443,37,97,482,584,142,66,51,0,11769,55,256,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Liverpool","Premier League","team",24,38,21758,19998,1700,448,69,128,729,682,252,145,72,1,18303,60,330,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Liverpool","Premier League","opponent",24,38,15957,14217,1644,465,66,73,500,569,139,81,21,5,12622,96,312,"https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats"
2025,"Lyon","Ligue 1","team",31,34,19063,17487,1505,416,61,112,598,606,185,79,75,0,16061,71,353,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Lyon","Ligue 1","opponent",31,34,14734,13176,1504,455,57,106,549,566,159,73,63,0,11925,54,265,"https://fbref.com/en/squads/d53c0b06/2024-2025/Lyon-Stats"
2025,"Mainz 05","Bundesliga","team",25,34,16434,14771,1585,378,43,73,658,716,165,58,74,6,12478,78,379,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mainz 05","Bundesliga","opponent",25,34,16234,14482,1703,469,48,58,656,691,173,84,72,0,12368,49,314,"https://fbref.com/en/squads/a224b06a/2024-2025/Mainz-05-Stats"
2025,"Mallorca","La Liga","team",28,38,16224,14337,1809,471,44,93,735,757,145,58,73,3,12613,78,292,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Mallorca","La Liga","opponent",28,38,18666,16782,1843,526,43,136,821,723,241,113,55,3,14980,41,306,"https://fbref.com/en/squads/2aa12281/2024-2025/Mallorca-Stats"
2025,"Manchester City","Premier League","team",30,38,24443,22822,1576,449,86,90,659,603,253,127,37,4,21531,45,341,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester City","Premier League","opponent",30,38,15459,14002,1372,323,67,92,455,521,123,80,19,8,12668,85,273,"https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats"
2025,"Manchester Utd","Premier League","team",31,38,20415,18750,1596,414,94,107,630,646,197,96,45,11,16837,69,355,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Manchester Utd","Premier League","opponent",31,38,17770,16138,1575,451,61,73,598,605,180,114,29,4,14277,57,323,"https://fbref.com/en/squads/19538871/2024-2025/Manchester-United-Stats"
2025,"Marseille","Ligue 1","team",32,34,23240,21718,1469,454,58,75,609,578,177,80,69,0,20427,53,328,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Marseille","Ligue 1","opponent",32,34,13334,11915,1327,423,62,77,385,450,106,45,39,0,10643,92,216,"https://fbref.com/en/squads/5725cc7b/2024-2025/Marseille-Stats"
2025,"Milan","Serie A","team",35,38,19101,17400,1641,524,90,85,634,544,217,134,18,0,16335,60,248,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Milan","Serie A","opponent",35,38,16519,14811,1613,453,60,122,590,588,159,64,60,0,13716,95,232,"https://fbref.com/en/squads/dc56fe14/2024-2025/Milan-Stats"
2025,"Monaco","Ligue 1","team",28,34,17916,16257,1590,494,88,88,563,622,184,87,70,0,14561,69,288,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Monaco","Ligue 1","opponent",28,34,14908,13223,1636,517,45,121,498,619,118,63,34,0,11573,49,315,"https://fbref.com/en/squads/fd6114db/2024-2025/Monaco-Stats"
2025,"Montpellier","Ligue 1","team",35,34,14420,12786,1569,460,45,109,646,575,155,55,75,0,11442,65,276,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Montpellier","Ligue 1","opponent",35,34,17484,15960,1486,459,49,66,564,582,174,63,74,0,14766,38,272,"https://fbref.com/en/squads/281b0e73/2024-2025/Montpellier-Stats"
2025,"Monza","Serie A","team",36,38,17515,15688,1773,575,30,78,656,623,136,41,75,0,14248,54,296,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Monza","Serie A","opponent",36,38,18811,17102,1668,541,47,89,680,650,195,82,84,1,15588,41,281,"https://fbref.com/en/squads/21680aa4/2024-2025/Monza-Stats"
2025,"Nantes","Ligue 1","team",30,34,13956,12362,1563,437,28,46,611,658,143,67,61,0,10999,31,280,"https://fbref.com/en/squads/d7a486cd/2024-2025/Nantes-Stats"
