"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"La Liga","M","ESP",2025,"Sevilla","team",35,38,39,472,148,31.4,12.42,3.89,0.08,0.25,18.5,14,2,3,42.7,40.3,0.09,-3.7,-3.3
"La Liga","M","ESP",2025,"Valencia","team",32,38,43,382,116,30.4,10.05,3.05,0.1,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3
"La Liga","M","ESP",2025,"Valladolid","team",38,38,26,331,97,29.3,8.71,2.55,0.06,0.22,18,11,5,5,34.6,30.7,0.09,-8.6,-9.7
"La Liga","M","ESP",2025,"Villarreal","team",31,38,69,530,171,32.3,13.95,4.5,0.12,0.37,16,9,5,7,64.8,59.1,0.12,4.2,4.9
"La Liga","M","ESP",2025,"vs Alavés","opponent",29,38,46,395,121,30.6,10.39,3.18,0.09,0.29,17.6,17,11,11,47,38.5,0.1,-1,-3.5
"La Liga","M","ESP",2025,"vs Athletic Club","opponent",31,38,28,338,108,32,8.89,2.84,0.07,0.23,17.6,9,3,5,37.8,33.9,0.1,-9.8,-8.9
"La Liga","M","ESP",2025,"vs Atlético Madrid","opponent",24,38,28,387,111,28.7,10.18,2.92,0.06,0.21,18.6,14,5,5,33.4,29.5,0.08,-5.4,-6.5
"La Liga","M","ESP",2025,"vs Barcelona","opponent",28,38,39,290,104,35.9,7.63,2.74,0.12,0.34,17.5,7,4,4,41.9,38.8,0.13,-2.9,-3.8
"La Liga","M","ESP",2025,"vs Betis","opponent",36,38,49,418,137,32.8,11,3.61,0.11,0.33,17.3,11,4,4,50.6,47.4,0.12,-1.6,-2.4
"La Liga","M","ESP",2025,"vs Celta Vigo","opponent",30,38,55,399,141,35.3,10.5,3.71,0.13,0.37,16.7,9,3,4,43.4,40,0.1,11.6,12
"La Liga","M","ESP",2025,"vs Espanyol","opponent",27,38,50,561,186,33.2,14.76,4.89,0.08,0.25,18,22,4,6,53.8,49,0.09,-3.8,-3
"La Liga","M","ESP",2025,"vs Getafe","opponent",30,38,39,362,117,32.3,9.53,3.08,0.09,0.26,17.9,12,8,9,46.2,39.4,0.11,-7.2,-8.4
"La Liga","M","ESP",2025,"vs Girona","opponent",30,38,59,450,158,35.1,11.84,4.16,0.12,0.35,18.1,16,3,6,50.4,45.7,0.1,8.6,10.3
"La Liga","M","ESP",2025,"vs Las Palmas","opponent",34,38,58,530,173,32.6,13.95,4.55,0.1,0.31,17.3,18,5,10,66.8,59.3,0.11,-8.8,-6.3
"La Liga","M","ESP",2025,"vs Leganés","opponent",26,38,53,563,168,29.8,14.82,4.42,0.08,0.27,17.6,15,7,8,59.4,53.1,0.1,-6.4,-7.1
"La Liga","M","ESP",2025,"vs Mallorca","opponent",28,38,43,565,162,28.7,14.87,4.26,0.07,0.25,18.5,9,3,3,46.8,44.5,0.08,-3.8,-4.5
"La Liga","M","ESP",2025,"vs Osasuna","opponent",25,38,51,460,180,39.1,12.11,4.74,0.1,0.24,18,22,7,7,53.7,48.2,0.11,-2.7,-4.2
"La Liga","M","ESP",2025,"vs Rayo Vallecano","opponent",26,38,44,461,145,31.5,12.13,3.82,0.08,0.26,17.4,11,6,8,49,42.7,0.09,-5,-4.7
"La Liga","M","ESP",2025,"vs Real Madrid","opponent",30,38,37,402,123,30.6,10.58,3.24,0.08,0.28,18.1,9,3,3,42.8,40.8,0.1,-5.8,-6.8
