"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2025,"Sevilla","La Liga","opponent",35,38,14301,17994,79.5,254797,88615,6318,7161,88.2,6361,7373,86.3,1337,2634,50.8,37,34,31.7,3,309,1122,235,72,1262,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",36,38,15530,18561,83.7,263566,84964,7279,7996,91,6699,7455,89.9,1175,2271,51.7,16,24.8,23.9,-8.8,269,989,218,60,1127,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",36,38,16575,19683,84.2,277016,92382,7944,8739,90.9,7112,7939,89.6,1153,2153,53.6,61,63,50.1,-2,521,1359,421,86,1647,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",28,34,11751,15300,76.8,208523,79611,5086,5835,87.2,5248,6213,84.5,1110,2391,46.4,22,26.3,28.7,-4.3,278,892,201,72,1073,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",28,34,16017,19511,82.1,283049,94838,6968,7806,89.3,7301,8280,88.2,1407,2474,56.9,30,35,37.8,-5,300,1241,275,66,1388,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"Strasbourg","Ligue 1","team",30,34,14667,17462,84,252607,87865,6434,7096,90.7,6989,7831,89.2,998,1882,53,43,38.5,32.5,4.5,273,896,216,50,1204,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",30,34,14255,17314,82.3,252105,86979,6261,6940,90.2,6372,7160,89,1305,2353,55.5,21,39.1,40.9,-18.1,338,1068,308,92,1361,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",29,34,16513,19767,83.5,272424,97064,8302,9120,91,6590,7479,88.1,1230,2270,54.2,45,45.3,52.7,-0.3,370,1291,372,90,1493,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",29,34,11408,14746,77.4,203317,78239,4970,5734,86.7,4936,5782,85.4,1179,2335,50.5,34,33.8,35.2,0.2,284,811,237,56,1023,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",31,38,13578,17008,79.8,249577,86249,5650,6464,87.4,6225,7103,87.6,1445,2696,53.6,21,22.5,25.9,-1.5,276,980,250,86,1113,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",31,38,15347,18718,82,278779,95303,6533,7277,89.8,6923,7856,88.1,1587,2836,56,30,34.7,31.3,-4.7,395,1207,317,107,1346,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",31,38,16513,19960,82.7,275248,93006,7576,8440,89.8,7372,8289,88.9,1101,2084,52.8,47,44.4,36.3,2.6,375,1254,369,83,1593,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",31,38,13104,16529,79.3,231356,83331,6060,6844,88.5,5408,6248,86.6,1301,2506,51.9,43,46.3,37.6,-3.3,381,1057,331,95,1330,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",27,34,11674,14867,78.5,203673,74918,5182,5953,87,5259,6118,86,964,2027,47.6,34,34.7,38,-0.7,297,879,284,65,1219,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",27,34,15399,18518,83.2,262480,86745,6949,7674,90.6,7033,7880,89.3,1078,2164,49.8,28,26,28.1,2,251,1075,247,64,1326,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",31,38,12945,16279,79.5,239290,82480,5322,6027,88.3,5751,6676,86.1,1552,2764,56.2,28,27.2,24.8,0.8,313,969,242,103,1160,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",31,38,14788,18221,81.2,268975,86699,5990,6768,88.5,6925,7850,88.2,1531,2709,56.5,30,35.6,28.3,-5.6,365,956,274,88,1282,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",28,34,9960,13705,72.7,178823,74942,4467,5296,84.3,3994,4998,79.9,1156,2400,48.2,25,23.5,31.6,1.5,292,792,239,75,1049,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",28,34,16465,20253,81.3,291665,98135,6966,7921,87.9,7697,8708,88.4,1456,2714,53.6,36,32.4,41.9,3.6,295,1264,306,88,1491,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",32,38,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,26,30,33.4,-4,284,1109,254,91,1340,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",32,38,15307,18992,80.6,273196,96683,6744,7559,89.2,6698,7661,87.4,1513,2779,54.4,38,37.2,37.8,0.8,321,1184,291,92,1419,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",38,38,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,15,25.7,24.3,-10.7,256,752,176,93,991,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",38,38,17117,20501,83.5,295213,99282,7740,8497,91.1,7685,8589,89.5,1328,2457,54,62,46.8,44.4,15.2,449,1475,381,103,1753,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",36,38,11573,15155,76.4,201752,77791,5144,5977,86.1,5103,6078,84,1002,2218,45.2,16,22.2,22.3,-6.2,282,813,215,58,1066,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",36,38,14934,18608,80.3,266899,96544,6714,7567,88.7,6273,7275,86.2,1602,2808,57.1,35,39.3,34.2,-4.3,422,1156,315,88,1397,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",31,38,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,51,49.7,48,1.3,427,1146,371,102,1522,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",31,38,16617,19916,83.4,296022,99699,7409,8192,90.4,7220,8075,89.4,1638,2748,59.6,28,28.5,33.8,-0.5,357,1325,295,94,1597,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",23,34,13999,17550,79.8,250040,91419,5827,6663,87.5,6247,7263,86,1455,2530,57.5,38,37.4,44,0.6,327,954,335,91,1351,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
