"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2025,"Strasbourg","Ligue 1","team",30,50.1,34,21307,2567,8555,9120,3825,614,21305,629,282,44.8,304,48.3,12112,56806,29750,563,365,170,514,263,14530,1191,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",30,49.9,34,20748,2028,6897,9204,4819,823,20739,489,202,41.3,257,52.6,11921,59250,27519,537,395,164,494,280,14145,1349,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",29,57.2,34,23545,2241,6719,11421,5572,945,23539,566,264,46.6,272,48.1,13416,68876,32190,545,434,170,499,312,16334,1478,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",29,42.8,34,18607,2476,6977,7887,3903,669,18604,515,222,43.1,254,49.3,9866,48935,22980,443,320,128,464,223,11303,1014,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",31,47.5,38,20697,2400,6911,9482,4475,605,20693,452,169,37.4,236,52.2,12098,62802,31118,529,389,107,490,272,13424,1103,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",31,52.5,38,22649,2383,7542,9869,5453,868,22642,499,205,41.1,232,46.5,13393,67768,33178,722,478,177,532,236,15221,1332,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",31,54.7,38,24315,2626,8159,10173,6223,1001,24311,812,308,37.9,425,52.3,15073,82903,41758,840,566,249,538,426,16373,1582,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",31,45.3,38,21039,2561,7305,8457,5517,994,21036,693,302,43.6,296,42.7,11514,60259,29730,660,417,220,497,365,12992,1316,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",27,45,34,18606,1884,6030,8440,4363,789,18602,616,277,45,306,49.7,10414,51124,26397,543,369,155,527,311,11568,1201,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",27,55,34,22354,2367,7535,10508,4524,615,22352,651,290,44.5,318,48.8,12597,64349,31370,589,403,128,548,287,15275,1320,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",31,47.2,38,20351,2410,6993,9142,4451,694,20347,623,281,45.1,294,47.2,11222,61191,29910,566,424,127,558,295,12776,1140,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",31,52.8,38,22212,2520,7711,9803,4905,788,22204,578,229,39.6,279,48.3,12421,64424,31794,582,419,159,536,283,14666,1273,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",28,40,34,17834,2167,6285,7721,3997,688,17831,420,172,41,214,51,8875,42427,20269,390,252,107,472,286,9874,1032,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",28,60,34,24274,2285,6987,12081,5341,764,24268,553,237,42.9,270,48.8,13550,66402,33786,595,435,123,486,267,16348,1484,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
