"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2025,"Inter","Serie A","team",26,38,505,288,215,198,92,239,452,52.9,213,356,126,230,227,732,676,11,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",26,38,441,265,193,184,64,199,357,55.7,158,392,144,248,259,700,887,19,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",32,38,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",32,38,637,366,274,260,103,290,567,51.1,277,366,110,256,242,879,744,23,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Juventus","Serie A","team",29,38,606,353,273,245,88,263,471,55.8,208,404,139,265,215,821,723,27,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Juventus","Serie A","opponent",29,38,593,359,265,239,89,300,609,49.3,309,383,144,239,298,891,797,21,"https://fbref.com/en/squads/e0652b02/2024-2025/Juventus-Stats"
2025,"Las Palmas","La Liga","team",34,38,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Las Palmas","La Liga","opponent",34,38,563,360,253,230,80,288,527,54.6,239,353,100,253,307,870,974,19,"https://fbref.com/en/squads/0049d422/2024-2025/Las-Palmas-Stats"
2025,"Lazio","Serie A","team",27,38,520,319,234,224,62,251,501,50.1,250,313,90,223,295,815,718,23,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Lazio","Serie A","opponent",27,38,576,332,263,225,88,266,562,47.3,296,356,134,222,272,848,985,24,"https://fbref.com/en/squads/7213da33/2024-2025/Lazio-Stats"
2025,"Le Havre","Ligue 1","team",31,34,621,387,326,212,83,304,562,54.1,258,362,131,231,324,945,987,24,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Le Havre","Ligue 1","opponent",31,34,547,314,213,239,95,236,469,50.3,233,301,83,218,249,796,788,20,"https://fbref.com/en/squads/5c2737db/2024-2025/Le-Havre-Stats"
2025,"Lecce","Serie A","team",31,38,627,372,315,250,62,301,584,51.5,283,407,144,263,285,912,1042,26,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Lecce","Serie A","opponent",31,38,538,327,226,229,83,248,485,51.1,237,375,106,269,292,830,807,23,"https://fbref.com/en/squads/ffcbe334/2024-2025/Lecce-Stats"
2025,"Leganés","La Liga","team",26,38,633,384,301,250,82,295,599,49.2,304,436,157,279,332,965,1201,18,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leganés","La Liga","opponent",26,38,577,351,247,253,77,263,565,46.5,302,291,80,211,279,856,768,20,"https://fbref.com/en/squads/7c6f2c78/2024-2025/Leganes-Stats"
2025,"Leicester City","Premier League","team",32,38,728,431,361,278,89,336,695,48.3,359,505,198,307,327,1055,987,31,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Leicester City","Premier League","opponent",32,38,640,411,223,288,129,304,568,53.5,264,355,95,260,269,909,807,23,"https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"
2025,"Lens","Ligue 1","team",33,34,606,365,264,233,109,299,579,51.6,280,387,101,286,321,927,705,19,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Lens","Ligue 1","opponent",33,34,638,361,296,247,95,297,546,54.4,249,443,144,299,361,999,942,17,"https://fbref.com/en/squads/fd4e0f7d/2024-2025/Lens-Stats"
2025,"Leverkusen","Bundesliga","team",23,34,395,259,153,163,79,184,357,51.5,173,302,77,225,234,629,676,26,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
2025,"Leverkusen","Bundesliga","opponent",23,34,546,313,310,183,53,293,547,53.6,254,417,145,272,352,898,933,18,"https://fbref.com/en/squads/c7a9f859/2024-2025/Bayer-Leverkusen-Stats"
2025,"Lille","Ligue 1","team",27,34,626,356,241,273,112,311,554,56.1,243,302,74,228,271,897,637,22,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
2025,"Lille","Ligue 1","opponent",27,34,588,364,300,229,59,288,571,50.4,283,388,113,275,374,962,777,25,"https://fbref.com/en/squads/cb188c0c/2024-2025/Lille-Stats"
