"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2025,"Newcastle Utd","Premier League","team",24,38,68,1,0,394,450,71,705,270,371,4,2,2,1632,487,466,51.1,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Newcastle Utd","Premier League","opponent",24,38,97,3,1,464,385,43,651,301,433,2,6,2,1634,466,487,48.9,"https://fbref.com/en/squads/b2b47a98/2024-2025/Newcastle-United-Stats"
2025,"Nice","Ligue 1","team",31,34,59,5,2,391,417,56,599,365,399,5,3,1,1608,427,402,51.5,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nice","Ligue 1","opponent",31,34,72,4,4,432,369,28,604,312,449,2,6,4,1533,402,427,48.5,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",23,38,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",23,38,104,2,2,434,390,36,886,265,365,2,3,1,1545,559,570,49.5,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",25,38,88,0,0,508,379,66,819,266,365,9,7,1,1461,617,515,54.5,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",25,38,81,6,2,405,485,103,704,250,385,7,9,2,1532,515,617,45.5,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",28,34,37,0,0,307,336,54,562,265,386,6,3,1,1654,262,214,55,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",28,34,61,2,0,360,284,73,386,338,454,1,7,3,1521,214,262,45,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Parma","Serie A","team",32,38,78,6,3,405,458,31,427,279,293,5,5,2,1365,499,502,49.9,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",32,38,80,3,2,483,380,119,856,279,354,4,7,1,1558,502,499,50.1,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",29,34,68,5,2,376,333,83,563,268,333,4,3,0,1533,480,439,52.2,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
