"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Nice","Ligue 1","opponent",1,34,34,3060,34,66,1.94,189,127,68.3,8,9,17,4,11.8,6,6,0,0,0,"https://fbref.com/en/squads/132ebc33/2024-2025/Nice-Stats"
2025,"Nott'ham Forest","Premier League","team",1,38,38,3420,38,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Nott'ham Forest","Premier League","opponent",1,38,38,3420,38,58,1.53,165,108,66.7,11,8,19,8,21.1,3,3,0,0,0,"https://fbref.com/en/squads/e4a775cb/2024-2025/Nottingham-Forest-Stats"
2025,"Osasuna","La Liga","team",2,38,38,3420,38,52,1.37,187,136,75.9,12,16,10,9,23.7,7,7,0,0,0,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Osasuna","La Liga","opponent",2,38,38,3420,38,48,1.26,132,86,70.5,10,16,12,8,21.1,9,9,0,0,0,"https://fbref.com/en/squads/03c57e2b/2024-2025/Osasuna-Stats"
2025,"Paris S-G","Ligue 1","team",3,34,34,3060,34,35,1.03,103,69,68.9,26,6,2,7,20.6,3,3,0,0,0,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Paris S-G","Ligue 1","opponent",3,34,34,3060,34,92,2.71,279,189,69.2,2,6,26,1,2.9,7,6,1,0,14.3,"https://fbref.com/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats"
2025,"Parma","Serie A","team",2,38,38,3330,38,58,1.57,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"Parma","Serie A","opponent",2,38,38,3420,38,44,1.16,146,103,74,16,15,7,11,28.9,7,6,0,1,0,"https://fbref.com/en/squads/eab4234c/2024-2025/Parma-Stats"
2025,"RB Leipzig","Bundesliga","team",2,34,34,3060,34,48,1.41,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"RB Leipzig","Bundesliga","opponent",2,34,34,3060,34,53,1.56,148,96,66.2,9,12,13,9,26.5,4,3,1,0,25,"https://fbref.com/en/squads/acbb6a5b/2024-2025/RB-Leipzig-Stats"
2025,"Rayo Vallecano","La Liga","team",2,38,38,3420,38,45,1.18,153,107,74.5,13,13,12,10,26.3,8,6,2,0,25,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
2025,"Rayo Vallecano","La Liga","opponent",2,38,38,3420,38,41,1.08,163,124,74.8,12,13,13,9,23.7,1,0,1,0,100,"https://fbref.com/en/squads/98e8af82/2024-2025/Rayo-Vallecano-Stats"
