"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2025,"Saint-Étienne","Ligue 1","opponent",1,34,39,3,1,6,0,33.3,0.26,-5.7,-0.17,122,308,39.6,843,140,28.7,31.1,197,33.5,32.8,287,29,10.1,30,0.88,14.1,"https://fbref.com/en/squads/d298ef2c/2024-2025/Saint-Etienne-Stats"
2025,"Sevilla","La Liga","team",2,38,55,5,3,4,1,48.1,0.29,-5.9,-0.15,155,587,26.4,1061,146,43.4,37.2,264,47.7,39.4,513,27,5.3,43,1.13,13.8,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Sevilla","La Liga","opponent",2,38,42,2,0,4,3,42.7,0.27,3.7,0.1,148,478,31,927,147,34.1,33.9,315,51.4,42.7,488,29,5.9,57,1.5,15.9,"https://fbref.com/en/squads/ad2be733/2024-2025/Sevilla-Stats"
2025,"Southampton","Premier League","team",3,38,86,7,0,12,0,83.8,0.32,-2.2,-0.06,235,707,33.2,1224,172,44.7,29.5,297,53.9,41.9,587,35,6,27,0.71,6.5,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"Southampton","Premier League","opponent",3,38,26,0,0,2,1,29.8,0.27,4.8,0.13,103,356,28.9,989,129,30.2,32.1,176,32.4,29.8,443,35,7.9,37,0.97,15.4,"https://fbref.com/en/squads/33c895d4/2024-2025/Southampton-Stats"
2025,"St. Pauli","Bundesliga","team",2,34,41,1,0,5,1,49.8,0.33,9.8,0.29,171,521,32.8,1212,112,37.5,44.7,241,27.4,26.5,426,24,5.6,27,0.79,NA,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"St. Pauli","Bundesliga","opponent",2,34,28,1,0,1,2,30,0.26,4,0.12,179,421,42.5,1042,138,30.5,31.4,251,41,35.4,466,42,9,55,1.62,14.4,"https://fbref.com/en/squads/54864664/2024-2025/St-Pauli-Stats"
2025,"Strasbourg","Ligue 1","team",2,34,44,8,0,3,2,52.5,0.27,10.5,0.31,123,383,32.1,1434,148,22.2,23.9,240,27.1,26.3,539,43,8,50,1.47,11.1,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Strasbourg","Ligue 1","opponent",2,34,56,2,0,9,2,53.2,0.38,-0.8,-0.02,138,345,40,975,140,28.6,31.2,194,34,31.9,394,25,6.3,43,1.26,14.3,"https://fbref.com/en/squads/c0d3eab4/2024-2025/Strasbourg-Stats"
2025,"Stuttgart","Bundesliga","team",1,34,53,2,1,7,1,44.8,0.32,-7.2,-0.21,157,410,38.3,1093,137,32.6,30.7,212,25.5,26.2,415,21,5.1,57,1.68,17.6,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Stuttgart","Bundesliga","opponent",1,34,64,2,1,11,3,61.3,0.33,0.3,0.01,189,543,34.8,1075,125,39.3,35.8,257,47.1,38.5,495,28,5.7,46,1.35,15,"https://fbref.com/en/squads/598bc722/2024-2025/Stuttgart-Stats"
2025,"Torino","Serie A","team",2,38,45,3,1,7,2,53.7,0.27,10.7,0.28,231,714,32.4,1342,196,41,31,313,52.4,46.2,597,37,6.2,51,1.34,27.3,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Torino","Serie A","opponent",2,38,39,2,0,4,3,36.3,0.28,0.3,0.01,181,489,37,1128,164,36.4,35,232,33.6,31.4,519,35,6.7,39,1.03,14.5,"https://fbref.com/en/squads/105360fe/2024-2025/Torino-Stats"
2025,"Tottenham","Premier League","team",4,38,65,3,0,8,4,66.6,0.36,5.6,0.15,59,195,30.3,1047,192,16.6,27.2,272,7.7,16.3,520,49,9.4,45,1.18,11.1,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Tottenham","Premier League","opponent",4,38,64,3,1,9,3,57.8,0.31,-3.2,-0.08,214,616,34.7,1007,149,45.3,37.6,271,59,44.4,576,34,5.9,28,0.74,12.1,"https://fbref.com/en/squads/361ca564/2024-2025/Tottenham-Hotspur-Stats"
2025,"Toulouse","Ligue 1","team",3,34,43,1,1,5,3,34.6,0.31,-5.4,-0.16,98,351,27.9,718,97,34.3,30,233,45.1,35.4,439,10,2.3,37,1.09,NA,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Toulouse","Ligue 1","opponent",3,34,44,3,0,2,2,50,0.33,8,0.23,104,413,25.2,1010,161,30.6,32.2,243,42.8,35.6,465,37,8,47,1.38,14.6,"https://fbref.com/en/squads/3f8c4b5f/2024-2025/Toulouse-Stats"
2025,"Udinese","Serie A","team",3,38,56,7,3,8,5,52.3,0.29,1.3,0.03,167,447,37.4,1021,108,34.3,30.5,266,36.5,31.7,528,19,3.6,36,0.95,15,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Udinese","Serie A","opponent",3,38,41,2,1,9,0,43,0.29,2,0.05,115,470,24.5,1149,177,32,34.7,273,37.4,33.7,531,39,7.3,35,0.92,12.7,"https://fbref.com/en/squads/04eea015/2024-2025/Udinese-Stats"
2025,"Union Berlin","Bundesliga","team",2,34,50,2,1,1,1,49,0.32,0,0,171,468,36.5,842,161,36.7,31,259,61.4,45.6,568,40,7,39,1.15,14.2,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Union Berlin","Bundesliga","opponent",2,34,36,3,0,8,0,36.5,0.28,0.5,0.02,142,463,30.7,1131,187,31,32.6,260,43.1,35.7,481,28,5.8,44,1.29,14.9,"https://fbref.com/en/squads/7a41008f/2024-2025/Union-Berlin-Stats"
2025,"Valencia","La Liga","team",2,38,54,6,0,4,3,50.5,0.3,-0.5,-0.01,156,521,29.9,925,159,39.4,40.5,286,54.9,43.2,523,36,6.9,54,1.42,25.7,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valencia","La Liga","opponent",2,38,44,5,0,6,1,43.2,0.34,0.2,0.01,194,495,39.2,967,149,37.5,36.1,280,47.1,39.9,579,46,7.9,50,1.32,13.6,"https://fbref.com/en/squads/dcc91a7b/2024-2025/Valencia-Stats"
2025,"Valladolid","La Liga","team",3,38,90,7,2,5,1,74.5,0.35,-14.5,-0.38,202,550,36.7,1042,167,35.6,33.8,360,49.7,41,580,39,6.7,38,1,10.4,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Valladolid","La Liga","opponent",3,38,26,5,2,2,0,27.9,0.24,1.9,0.05,143,404,35.4,838,166,33.2,34,229,55,45.1,531,31,5.8,52,1.37,15.9,"https://fbref.com/en/squads/17859612/2024-2025/Valladolid-Stats"
2025,"Venezia","Serie A","team",3,38,56,10,0,8,3,57,0.26,4,0.1,135,520,26,1014,158,41.9,31,342,27.8,27.3,589,31,5.3,21,0.55,9.4,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Venezia","Serie A","opponent",3,38,32,4,2,4,1,36,0.26,5,0.13,232,563,41.2,1052,132,43.1,38,247,44.5,37.4,401,24,6,32,0.84,14.2,"https://fbref.com/en/squads/af5d5982/2024-2025/Venezia-Stats"
2025,"Villarreal","La Liga","team",2,38,51,7,2,6,1,44.4,0.25,-5.6,-0.15,122,339,36,834,207,29.4,28.2,296,31.8,30.8,579,34,5.9,36,0.95,11.9,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Villarreal","La Liga","opponent",2,38,71,5,0,6,2,64.5,0.34,-4.5,-0.12,218,497,43.9,968,155,35.2,35.1,332,47,39.7,506,32,6.3,53,1.4,15,"https://fbref.com/en/squads/2a8183b3/2024-2025/Villarreal-Stats"
2025,"Werder Bremen","Bundesliga","team",1,34,57,3,2,4,3,52.9,0.33,-1.1,-0.03,134,370,36.2,1072,188,31.1,31.9,239,15.5,21.6,464,35,7.5,34,1,13.5,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"Werder Bremen","Bundesliga","opponent",1,34,54,3,2,7,1,50,0.33,-3,-0.09,172,525,32.8,1086,153,37.5,35.1,251,47,38.9,531,32,6,66,1.94,15.9,"https://fbref.com/en/squads/62add3bf/2024-2025/Werder-Bremen-Stats"
2025,"West Ham","Premier League","team",2,38,62,3,1,8,3,57.9,0.3,-1.1,-0.03,212,610,34.8,1167,174,37.4,32.1,311,55.9,41.9,614,25,4.1,42,1.11,15,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"West Ham","Premier League","opponent",2,38,46,3,1,5,3,43.7,0.3,0.7,0.02,164,494,33.2,1101,146,36.4,34.1,239,38.9,33.2,454,35,7.7,39,1.03,14.1,"https://fbref.com/en/squads/7c21e445/2024-2025/West-Ham-United-Stats"
2025,"Wolfsburg","Bundesliga","team",2,34,54,2,0,11,1,57.3,0.35,4.3,0.13,223,608,36.7,1066,143,44.2,36.6,285,48.1,38.9,512,24,4.7,22,0.65,11.7,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolfsburg","Bundesliga","opponent",2,34,56,4,1,12,3,49.6,0.33,-3.4,-0.1,176,435,40.5,983,127,33.4,33.7,257,41.6,35.4,478,26,5.4,39,1.15,13.4,"https://fbref.com/en/squads/4eaa11d7/2024-2025/Wolfsburg-Stats"
2025,"Wolves","Premier League","team",4,38,69,7,2,11,3,59.7,0.32,-6.3,-0.17,153,532,28.8,1020,156,41.5,36.6,244,44.7,37,562,40,7.1,57,1.5,13.4,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
2025,"Wolves","Premier League","opponent",4,38,54,0,1,5,1,45.1,0.29,-7.9,-0.21,140,421,33.3,1085,170,30.9,32.9,260,33.1,30.6,428,28,6.5,52,1.37,15.4,"https://fbref.com/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"
