Player,KP,PrgP,Cmp_percent_Total,Pos,xA_Expected,Final_Third,PPA,xAG,Succ_Take,PrgC_Carries,CPA_Carries,Final_Third_Carries,PrgR_Receiving,Rec_Receiving,TklW_Tackles,Int,Min_Playing.Time,SCA90_SCA,PassLive_GCA,GCA90_GCA,Sh_per_90_Standard,SoT_per_90_Standard,xG_Expected,npxG_Expected,G_minus_xG_Expected,Recov,TB_Pass,Att,xG_per90,npXG_per90,Sh_per90,SoT_per90,SCA_per90,GCA_per90,PassLive_SCA_per90,TB_per90,KP_per90,PrgP_per90,PPA_per90,F3P_per90,Succ_Take_per90,PrgC_per90,CPA_per90,F3C_per90,TklW_per90,Recov_per90,PrgR_per90,Rec_per90,xA_per90,xAG_per90,Cluster,Style
Leandro Trossard,41,101,74.5,FW,4.1,45,48,6.1,38,80,30,55,226,956,20,9,2546.0,3.29,8,0.28,2.55,0.74,7.2,7.2,0.8,104,7,954,0.25451688923802046,0.25451688923802046,2.55,0.74,3.29,0.28,0.2827965435978005,0.2474469756480754,1.4493322859387272,3.570306362922231,1.696779261586803,1.5907305577376278,1.3432835820895521,2.8279654359780046,1.0604870384917517,1.9442262372348784,0.7069913589945012,3.676355066771406,7.989002356637863,33.79418695993716,0.14493322859387273,0.21563236449332285,3,Link Play Forward
Leon Bailey,16,35,71.0,"FW,MF",3.0,16,20,1.5,22,58,34,23,121,390,5,3,1139.0,3.01,4,0.32,2.21,0.47,1.7,1.7,-0.7,59,5,390,0.13432835820895522,0.13432835820895522,2.21,0.47,3.01,0.32,0.3160667251975417,0.39508340649692714,1.2642669007901668,2.76558384547849,1.5803336259877085,1.2642669007901668,1.7383669885864794,4.582967515364355,2.6865671641791042,1.8173836698858647,0.39508340649692714,4.66198419666374,9.561018437225636,30.816505706760317,0.23705004389815626,0.11852502194907813,3,Link Play Forward
Jáder Durán,4,13,70.6,FW,0.3,10,1,0.2,3,7,2,7,44,192,7,0,638.0,2.54,0,0.14,4.37,2.12,4.9,4.9,2.1,19,2,163,0.6912225705329154,0.6912225705329154,4.37,2.12,2.54,0.14,0.0,0.28213166144200624,0.5642633228840125,1.8338557993730407,0.14106583072100312,1.4106583072100312,0.42319749216300945,0.987460815047022,0.28213166144200624,0.987460815047022,0.987460815047022,2.6802507836990594,6.206896551724138,27.084639498432605,0.04231974921630094,0.02821316614420063,0,Support Forward
John McGinn,31,103,81.9,"MF,FW",2.7,70,29,3.5,20,32,7,17,87,744,24,14,2223.0,3.08,6,0.32,1.26,0.2,3.1,2.8,-2.1,100,9,854,0.12550607287449392,0.11336032388663966,1.26,0.2,3.08,0.32,0.242914979757085,0.3643724696356275,1.2550607287449393,4.17004048582996,1.174089068825911,2.834008097165992,0.8097165991902834,1.2955465587044535,0.28340080971659914,0.688259109311741,0.97165991902834,4.048582995951417,3.522267206477733,30.12145748987854,0.10931174089068826,0.14170040485829957,6,Pressing Forward
Jacob Ramsey,21,68,84.8,"FW,MF",2.2,31,21,2.3,25,61,21,31,114,577,15,8,1623.0,2.83,7,0.44,1.05,0.22,1.6,1.6,-0.6,83,3,586,0.08872458410351201,0.08872458410351201,1.05,0.22,2.83,0.44,0.38817005545286504,0.16635859519408502,1.1645101663585953,3.770794824399261,1.1645101663585953,1.7190388170055453,1.3863216266173752,3.3826247689463953,1.1645101663585953,1.7190388170055453,0.8317929759704252,4.602587800369686,6.321626617375231,31.99630314232902,0.12199630314232904,0.12754158964879853,3,Link Play Forward
Morgan Rogers,51,123,73.2,"FW,MF",5.2,73,56,7.8,66,114,33,68,188,956,22,6,3114.0,3.04,14,0.46,1.59,0.58,6.6,6.6,1.4,119,22,907,0.1907514450867052,0.1907514450867052,1.59,0.58,3.04,0.46,0.40462427745664736,0.6358381502890174,1.4739884393063585,3.5549132947976876,1.6184971098265895,2.1098265895953756,1.9075144508670518,3.294797687861272,0.9537572254335259,1.9653179190751444,0.6358381502890174,3.439306358381503,5.433526011560693,27.630057803468205,0.15028901734104047,0.2254335260115607,5,Dribbling Playmaker
Ollie Watkins,24,31,72.4,FW,2.1,12,13,3.3,10,55,38,21,165,552,7,8,2598.0,1.84,8,0.42,2.84,1.25,15.3,13.8,0.7,43,1,424,0.5300230946882217,0.4780600461893765,2.84,1.25,1.84,0.42,0.27713625866050806,0.03464203233256351,0.8314087759815242,1.073903002309469,0.45034642032332567,0.4157043879907621,0.3464203233256351,1.905311778290993,1.3163972286374133,0.7274826789838338,0.24249422632794457,1.4896073903002311,5.71593533487298,19.12240184757506,0.07274826789838337,0.11431870669745957,0,Support Forward
Charles De Ketelaere,39,140,75.8,"MF,FW",4.8,81,53,6.0,43,108,41,75,211,1008,9,3,2070.0,3.83,11,0.61,2.09,0.87,7.3,7.3,-0.3,78,14,995,0.3173913043478261,0.3173913043478261,2.09,0.87,3.83,0.61,0.4782608695652174,0.6086956521739131,1.6956521739130437,6.08695652173913,2.3043478260869565,3.5217391304347827,1.8695652173913044,4.695652173913043,1.782608695652174,3.2608695652173916,0.391304347826087,3.3913043478260874,9.17391304347826,43.82608695652174,0.20869565217391303,0.2608695652173913,7,Ball-Dominant Star
Ademola Lookman,61,73,72.5,"MF,FW",7.9,29,43,7.1,37,142,81,70,316,974,15,3,2247.0,5.41,10,0.6,3.24,1.28,10.3,9.5,4.7,69,3,944,0.4125500667556743,0.38050734312416556,3.24,1.28,5.41,0.6,0.40053404539385845,0.12016021361815754,2.4432576769025367,2.923898531375167,1.7222963951935917,1.1615487316421895,1.4819759679572764,5.68758344459279,3.244325767690254,2.803738317757009,0.6008010680907877,2.7636849132176233,12.656875834445929,39.012016021361816,0.3164218958611482,0.2843791722296395,2,Elite Creator
Mateo Retegui,38,46,76.5,FW,2.2,29,9,4.9,12,21,11,12,199,704,9,4,2383.0,2.87,11,0.53,3.74,1.21,18.9,14.9,6.1,69,2,575,0.7138061267310113,0.5627360469995804,3.74,1.21,2.87,0.53,0.41544271926143517,0.07553503986571548,1.435165757448594,1.737305916911456,0.3399076793957197,1.0952580780528747,0.4532102391942929,0.7931179185900126,0.41544271926143517,0.4532102391942929,0.3399076793957197,2.6059588753671843,7.515736466638692,26.58833403273185,0.08308854385228705,0.18506084767100298,1,All-Around Attacker
Álex Berenguer,46,78,65.8,"FW,MF",4.4,49,28,5.0,33,65,27,40,216,809,16,10,2339.0,3.77,6,0.54,1.96,0.69,6.8,6.0,-0.8,113,7,954,0.261650277896537,0.23086789226165028,1.96,0.69,3.77,0.54,0.23086789226165028,0.26934587430525864,1.7699871740059856,3.001282599401453,1.0773834972210345,1.8854211201368107,1.2697734074390765,2.5010688328345445,1.0389055151774262,1.5391192817443353,0.615647712697734,4.348011970927747,8.31124412141941,31.12868747327918,0.1693031209918769,0.19238991021804192,3,Link Play Forward
Adama Boiro,5,46,79.9,"DF,FW",0.6,44,8,0.5,8,25,5,21,36,332,11,12,1101.0,1.31,0,0.0,0.41,0.0,0.3,0.3,-0.3,45,0,502,0.02452316076294278,0.02452316076294278,0.41,0.0,1.31,0.0,0.0,0.0,0.40871934604904636,3.760217983651226,0.6539509536784741,3.5967302452316074,0.6539509536784741,2.0435967302452314,0.40871934604904636,1.7166212534059946,0.8991825613079019,3.678474114441417,2.9427792915531334,27.138964577656676,0.04904632152588556,0.04087193460490463,6,Pressing Forward
Álvaro djaló,4,13,66.4,FW,0.6,6,6,0.9,14,22,6,23,60,177,5,1,659.0,1.64,0,0.14,2.05,0.41,0.8,0.8,0.2,28,0,128,0.10925644916540213,0.10925644916540213,2.05,0.41,1.64,0.14,0.0,0.0,0.5462822458270107,1.7754172989377843,0.8194233687405159,0.8194233687405159,1.9119878603945373,3.004552352048558,0.8194233687405159,3.141122913505311,0.6828528072837633,3.8239757207890746,8.19423368740516,24.17298937784522,0.08194233687405159,0.1229135053110774,6,Pressing Forward
